Telecom Circle name,srcYear,srcMonth,Service provider,Wireless subscribers,Proportion of VLR on a peak day,Wireline subscribers,srcStateName
West Bengal,2021,Apr-2021,BSNL,10519.484024974,0.30003555158,825.196761253,Andaman and Nicobar Islands
West Bengal,2021,Apr-2021,Bharti,,0.41070305019,,Andaman and Nicobar Islands
West Bengal,2021,Apr-2021,Bharti Airtel (including Tata Tele.),63343.164118862,,,Andaman and Nicobar Islands
West Bengal,2021,Apr-2021,Reliance Com.,3.765912271,0.08447522816,0.053621971,Andaman and Nicobar Islands
West Bengal,2021,Apr-2021,Reliance Jio,90230.053581196,0.36302074367,258.008300617,Andaman and Nicobar Islands
West Bengal,2021,Apr-2021,Tata Tele.,,,9.573584207,Andaman and Nicobar Islands
West Bengal,2021,Apr-2021,Vodafone Idea,69992.886614077,0.40558833911,0.49497204,Andaman and Nicobar Islands
Andhra Pradesh,2021,Apr-2021,BSNL,5631938.22889713,57.63,325552.928214694,Andhra Pradesh
Andhra Pradesh,2021,Apr-2021,Bharti,,96.33,,Andhra Pradesh
Andhra Pradesh,2021,Apr-2021,Bharti Airtel,,,157739.082821739,Andhra Pradesh
Andhra Pradesh,2021,Apr-2021,Bharti Airtel (including Tata Tele.),18357297.0948107,,,Andhra Pradesh
Andhra Pradesh,2021,Apr-2021,Reliance Com.,593.77091486166,109.48,12888.8732940701,Andhra Pradesh
Andhra Pradesh,2021,Apr-2021,Reliance Jio,18815793.1621044,78.95,223353.406593238,Andhra Pradesh
Andhra Pradesh,2021,Apr-2021,Tata Tele.,,,93061.4282723012,Andhra Pradesh
Andhra Pradesh,2021,Apr-2021,Vodafone Idea,9136642.62554688,90.13,32929.9605102942,Andhra Pradesh
North East,2021,Apr-2021,BSNL,40896.503782444,1.98827557249,2001.395712348,Arunachal Pradesh
North East,2021,Apr-2021,Bharti,,3.15276356173,,Arunachal Pradesh
North East,2021,Apr-2021,Bharti Airtel (including Tata Tele.),164303.571903208,,,Arunachal Pradesh
North East,2021,Apr-2021,Reliance Com.,0,,,Arunachal Pradesh
North East,2021,Apr-2021,Reliance Jio,130255.206742637,2.599843382,1167.662216625,Arunachal Pradesh
North East,2021,Apr-2021,Vodafone Idea,41608.649253953,2.63370180744,9.97614321,Arunachal Pradesh
Assam,2021,Apr-2021,BSNL,3048464,46.26,81482,Assam
Assam,2021,Apr-2021,Bharti,,99.95,,Assam
Assam,2021,Apr-2021,Bharti Airtel (including Tata Tele.),9379532,,,Assam
Assam,2021,Apr-2021,Reliance Jio,9384721,75.84,51096,Assam
Assam,2021,Apr-2021,Vodafone Idea,3165463,91.19,3420,Assam
North East,2021,Apr-2021,BSNL,922291.013614212,44.83925332227,45135.136490004,Assam
North East,2021,Apr-2021,Bharti,,71.10058885479,,Assam
North East,2021,Apr-2021,Bharti Airtel (including Tata Tele.),3705346.27304978,,,Assam
